"UniqueID","saline_pixel_count","saline_area_m2"
"AP_3_01348600",0,0
"AP_3_01513700",0,0
"AP_3_01513600",0,0
"AP_3_01513500",0,0
"AP_3_01510500",0,0
"AP_3_01510600",0,0
"AP_3_01510800",0,0
"AP_3_01513400",0,0
"AP_3_01510700",0,0
"AP_3_01511000",0,0
"AP_3_01510900",0,0
"AP_3_01515300",31.3618869781494,28225.6982803345
"AP_3_01511600",0,0
"AP_3_01511500",0,0
"AP_3_01513000",0,0
"AP_3_01511800",0,0
"AP_3_01515400",0,0
"AP_3_01513300",0,0
"AP_3_01540800",0,0
"AP_3_01540700",0,0
"AP_3_01517300",0,0
"AP_3_01513100",0,0
"AP_3_01511300",0,0
"AP_3_01511700",0,0
"AP_3_01515600",0,0
"AP_3_01512000",0,0
"AP_3_01513200",0,0
"AP_3_01515500",0,0
"AP_3_01540600",0,0
"AP_3_01515700",0,0
"AP_3_01390900",0,0
"AP_3_01518400",0,0
"AP_3_01518200",0,0
"AP_3_01518500",0,0
"AP_3_01518700",0,0
"AP_3_01518300",0,0
"AP_3_01517900",0,0
"AP_3_01518600",0,0
"AP_3_01519600",0,0
"AP_3_01518000",0,0
"AP_3_01517800",0,0
"AP_3_01517500",0,0
"AP_3_01519500",0,0
"AP_3_01518100",0,0
"AP_3_01519700",0,0
"AP_3_01518800",0,0
"AP_3_01518900",0,0
"AP_3_01517700",0,0
"AP_3_01516700",0,0
"AP_3_01517200",0,0
"AP_3_01517600",0,0
"AP_3_01521600",0,0
"AP_3_01517400",0,0
"AP_3_01521500",0,0
"AP_3_01519000",0,0
"AP_3_01519200",0,0
"AP_3_01519100",0,0
"AP_3_01519300",0,0
"AP_3_01521200",0,0
"AP_3_01391100",1,900
"AP_3_01519400",0,0
"AP_3_01521700",0,0
"AP_3_01521800",0,0
"AP_3_01521300",0,0
"AP_3_01521400",0,0
"AP_3_01517100",0,0
"AP_3_01522000",0,0
"AP_3_01521900",0,0
"AP_3_01517000",0,0
"AP_3_01388500",16,14400
"AP_3_01388600",9,8100
"AP_3_01522100",0,0
"AP_3_01516800",0,0
"AP_3_01522300",0,0
"AP_3_01522200",0,0
"AP_3_01522400",0,0
"AP_3_01391200",0.615672051906586,554.104846715927
"AP_3_01524100",4,3600
"AP_3_01524200",0,0
"AP_3_01523900",0,0
"AP_3_01524000",0,0
"AP_3_01522500",0,0
"AP_3_01522700",0,0
"AP_3_01522600",0,0
"AP_3_01523600",0,0
"AP_3_01524300",4,3600
"AP_3_01525300",0,0
"AP_3_01523500",0,0
"AP_3_01388700",12.6586980819702,11392.8282737732
"AP_3_01525700",0,0
